id,name,notes
600,Coon Rapids MN PD,NA
601,Cooper County MO SO,NA
602,Copley Township OH PD,NA
603,Coppell TX PD,NA
604,Coral Springs FL PD,NA
605,Corinth MS PD,NA
606,Corinth TX PD,NA
607,Cornelius NC PD,NA
608,Corona CA PD,NA
609,Corpus Christi TX PD,NA
610,Cortland OH PD,NA
611,Costa Mesa CA PD,NA
612,Cottage Grove WI PD,NA
613,Cottleville MO PD,NA
614,Council Bluffs IA PD,NA
615,Country Club Hills IL PD,NA
616,Covina CA PD,NA
617,Covington GA PD,NA
618,Covington LA PD,NA
619,Covington TN PD,NA
620,Coweta County GA SO,NA
621,Coweta OK PD,NA
622,Cowley County KS SO,NA
623,Craig Lynch Demo Cam,NA
624,Cramerton NC PD,NA
625,Crandall TX PD,NA
626,Cranston RI PD,NA
627,Craven County ABC Board (NC),NA
628,Crawford County KS SO,NA
629,Crawfordsville IN PD,NA
630,Creedmoor NC PD,NA
631,Crest Hill IL PD,NA
632,Crestline OH PD,NA
633,Creston OH PD,NA
634,Crestview Fl PD,NA
635,Crestwood IL PD,NA
636,Crestwood MO PD,NA
637,Crete IL PD,NA
638,Creve Coeur MO PD,NA
639,Crossville TN PD,NA
640,Crowell TX PD,NA
641,Crowley TX PD,NA
642,Crystal City MO PD,NA
643,Crystal Lake IL PD,NA
644,CSU Long Beach PD (CA),NA
645,Cullman AL PD,NA
646,Cullman County AL SO,NA
647,Culpeper VA PD,NA
648,Cumberland Metro IN PD,NA
649,Cumberland WI PD,NA
650,Cumming GA PD,NA
651,Cuyahoga County OH SO,NA
652,Cuyahoga Emergency Communications Systems OH (CECOMS),NA
653,Cuyahoga Falls OH PD,NA
654,Cuyahoga Heights OH PD,NA
655,Cuyahoga Metro Housing Authority OH PD (CMHA),NA
656,Cypress CA PD,NA
657,Cypress Fairbanks ISD (TX) PD,NA
658,D'Iberville MS PD,NA
659,Dacono CO PD,NA
660,Dahlonega GA PD,NA
661,Dakota County NE SO,NA
662,Dallas GA PD,NA
663,Dallas TX PD,NA
664,Dalton GA PD,NA
665,Daly City CA PD,NA
666,Dane County WI SO,NA
667,Danville CA PD,NA
668,Danville IL PD,NA
669,Danville IN PD,NA
670,Darien IL PD,NA
671,Davenport FL PD,NA
672,Davidson NC PD,NA
673,Davie County NC SO,NA
674,Davie FL PD,NA
675,Dawson County GA SO,NA
676,Dayton OH PD,NA
677,Daytona Beach FL PD,lists locations
678,Daytona Beach Shores FL PD,NA
679,De Pere WI PD,NA
680,Decatur AL PD,NA
681,Decatur County TN SO,NA
682,Decatur GA PD,NA
683,Decatur IL PD,NA
684,Decatur Park District IL PD,NA
685,Deer Park TX PD,NA
686,Deerfield IL PD,NA
687,Defuniak Springs FL PD,NA
688,DeKalb County GA PD,NA
689,Dekalb County IL SO,NA
690,Dekalb County SO (GA),NA
691,Dekalb IL PD,NA
692,Del City OK PD,NA
693,Delafield WI PD,NA
694,DeLand FL PD,NA
695,Delano CA PD,NA
696,Delaware County OH SO,NA
697,Delete - Don't Use,NA
698,Delhi Twp OH PD,NA
699,Delphos OH PD,NA
700,Delray Beach FL PD,NA
701,Denison University Campus OH PD,NA
702,Denton County TX SO,NA
