id,agency,updated,accessed,url,data_retention_in_days,number_of_owned_cameras,external_organizations_with_access,hotlists_alerted_on,vehicles_detected_in_the_last_30_days,hotlist_hits_in_the_last_30_days,searches_in_the_last_30_days,public_search_audit
48,Altoona IA PD,2024-04-26T11:38:22Z,2024-04-26T17:31:35Z,https://transparency.flocksafety.com/altoona-ia-pd,30 days,20,NA,"NCIC, NCMEC Amber Alert",326695,Data Unavailable,297,0
1782,Muskogee OK PD,2024-04-26T12:10:27Z,2024-04-26T17:31:37Z,https://transparency.flocksafety.com/muskogee-ok-pd,30 days,10,NA,"NCIC, NCMEC Amber Alert",88912,250,NA,0
2684,Webster Groves MO PD,2024-04-26T11:01:27Z,2024-04-26T17:31:38Z,https://transparency.flocksafety.com/webster-groves-mo-pd,30 days,6,"Alton IL PD, Arnold MO PD, Ash Grove MO PD, Athens IL PD, Berkeley MO PD, Blue Springs MO PD, Bowling Green MO PD, Branson MO PD, Brentwood MO PD, Brigham City UT PD, Canton IL PD, Cape Girardeau County MO SO, Cape Girardeau MO PD, Charleston IL PD, Chatham IL PD, Chesterfield MO PD, Christian County MO SO, City of Jennings MO PD, Clay County MO SO, Clayton MO PD, Coal Valley IL PD , Cole County MO SO, Collinsville IL PD, Columbia IL PD, Crestwood MO PD, Creve Coeur MO PD, Crystal City MO PD, Decatur IL PD, Des Peres MO DPS, Desoto MO PD, Edmundson MO PD, El Paso IL PD, Ellisville MO PD, Eureka MO PD, Excelsior Springs MO PD, Farmington MO PD, Fayette County IL SO , Ferguson MO PD, Festus MO PD, Florissant MO PD, Frontenac MO PD, Gladstone MO PD, Grandview MO PD, Greene County MO SO, Greenwood MO PD, Hazelwood MO PD, Herculaneum MO PD, Higginsville MO PD, Houston TX PD, Jackson MO PD, Jacksonville IL PD, Jefferson City MO PD, Jefferson County MO 911, Jefferson County MO SO, Jonesboro AR PD, Joplin MO PD, Kearney MO PD, Kewanee IL PD , Kirkwood MO PD, Ladue MO PD, Lake St. Louis MO PD, Lasalle IL PD , Lee's Summit MO PD, Liberty MO PD, Livingston IL PD , Manchester MO PD, Maplewood MO PD, Maryland Heights MO PD, Metro East Auto Theft (IL), Mid Missouri Drug Task Force MO, Mineral Area Drug Task Force MO, Missouri Department of Public Safety, Missouri State Highway Patrol, MOCIC , Monett MO PD, Moniteau Co MO SO, Nixa MO PD, Normandy MO PD, North County Cooperative MO PD, North Missouri Drug Task Force MO, O'Fallon IL PD, O'Fallon MO PD, Olivette MO PD, Overland MO PD, Overland Park KS PD, Ozark MO PD, Ozarks Drug Enforcement Team MO, Park Hills MO PD, Pekin IL PD, Pemiscot County MO SO, Perry County MO SO, Pike County IL SO , Platte County MO SO, Polk County MO SO, Potosi MO PD, Randolph County IL SO, Raymore MO PD, Republic MO PD, Richmond Heights MO PD, SEMO Drug Task Force MO, Shrewsbury MO PD, Sikeston MO DPS, South Central MO Drug Task Force, Spencer County IN SO, Springfield MO PD, St. Charles County MO PD, St. Charles MO PD, St. Francois County MO SO, St. John MO PD, St. Joseph MO PD, St. Louis County MO PD, Ste. Genevieve County MO SO , Stone County MO SO, Sullivan County IN SO, Sunset Hills MO PD, Texas Financial Crimes Intelligence Center, Town & Country MO PD, Troy MO PD, University City MO PD, US Postal Inspection Service, Warrick County IN SO, Washington County MO SO, Washington MO PD, Waterloo IL PD, Wentzville MO PD, Westport Regional Business League (MO), Woodson Terrace MO PD","NCIC, NCMEC Amber Alert",281306,216,91,1
2700,West Des Moines IA PD,2024-04-26T11:39:11Z,2024-04-26T17:31:40Z,https://transparency.flocksafety.com/west-des-moines-ia-pd,30 days,56,"Altoona IA PD, Amberley Village OH PD, Ankeny IA PD, Anoka County MN SO, ATF Nashville TN, Avon CO PD, Bayfield County WI SO, Bloomington IN PD, Blount County Commission (AL), Blue Springs MO PD, Boone County AR SO, Burlington IA PD, Butler County OH SO, Camanche IA PD, Cape Girardeau MO PD, Chatham IL PD, Chesterton IN PD , Chicago Heights IL PD, Chicago Ridge IL PD, Clarksville VA PD, Clinton Co IA Communications Center, Clinton IA PD, Clive IA PD, College Park GA PD, Coralville IA PD, Council Bluffs IA PD, Dallas TX PD, Davenport IA PD, Derby KS PD, Douglas County NE SO, Dubuque IA PD, DuPage County IL SO, Evansville IN PD, Excelsior Springs MO PD, Fort Wayne IN PD , Fulton County GA SO, Glendale CA PD, Glenwood IA PD, Gluckstadt MS PD, Grand Island NE PD, Grandview MO PD, Grant County WI SO, Greenfield WI PD, Hall County NE SO, Houston TX PD, Indianola IA PD, Jefferson County MO SO, Jemison AL PD, Johnston IA PD, Justice IL PD, Kankakee County IL SO, Kearney NE PD, Kokomo IN PD, Lansing IL PD, Lasalle IL PD , Lee County IA SO, Lee's Summit MO PD, Linn County IA SO, Madison SD PD , Marshalltown IA PD, Mid Missouri Drug Task Force MO, Missouri State Highway Patrol, MOCIC , Mount Vernon IN PD, Murfreesboro TN PD, Neosho County KS SO, New York State Police NY, Newton IA PD, North Chicago IL PD, North Liberty IA PD, O'Fallon MO PD, Odessa MO PD, Ontario CA PD, Ottawa IL PD, Ottumwa IA PD, Overland Park KS PD, Perry County MO SO, Pittsboro IN PD, Pleasant Hill IA PD, Polk City IA PD, Polk County Conservation IA, Radcliff KY PD, Richmond VA PD, RIG WI DTF, Rock County WI SO, Sarasota FL PD, Sarpy County NE SO, Sauk Prairie WI PD, Sauk Village IL PD, Scarborough ME PD, Scott County IA SO, Scott County MS SO, Shelby County TN SO, South Chicago Heights IL PD, South Sioux City NE PD , Springfield MO PD, Sterling Heights MI PD, Stone County MO SO, Texas Financial Crimes Intelligence Center, Thornton CO PD, Tooele City PD UT, University of Chicago PD, University of Iowa PD (IA), University of Wisconsin - Madison WI PD, Urbandale IA PD, US Postal Inspection Service, USMS (Inactive), Waterloo IA PD, Waukee IA PD, Waukesha WI PD, West Bend WI PD, West Chicago IL PD, West Terre Haute IN PD, WI Department of Justice, Wichita Falls TX PD , Windsor CO PD","NCIC, NCMEC Amber Alert",465500,4635,432,1
2518,Town of Woodside CA (SMCSO),2024-04-26T11:03:20Z,2024-04-26T17:31:42Z,https://transparency.flocksafety.com/town-of-woodside-ca-smcso,60 days,17,"Redwood City CA PD, San Mateo County CA SO","California SVS, NCMEC Amber Alert",137163,142,NA,0
2385,Spokane County WA SO,2024-04-26T11:11:05Z,2024-04-26T17:31:43Z,https://transparency.flocksafety.com/-spokane-county-wa-so,30 days,39,NA,"NCIC, NCMEC Amber Alert",531609,Data Unavailable,NA,0
78,Arcanum OH PD,2024-04-26T10:01:15Z,2024-04-26T17:31:45Z,https://transparency.flocksafety.com/arcanum-oh-pd,30 days,5,NA,"NCIC, NCMEC Amber Alert",18848,5,0,0
127,Bainbridge Township OH PD,2024-04-26T10:04:17Z,2024-04-26T17:31:47Z,https://transparency.flocksafety.com/bainbridge-township-oh-pd,30 days,2,NA,"NCIC, NCMEC Amber Alert",99478,105,67,0
707,Derby KS PD,2024-04-26T11:02:27Z,2024-04-26T17:31:49Z,https://transparency.flocksafety.com/derby-ks-pd,30 days,15,"Abilene KS PD, Allen County KS Communications Center, Allen County KS SO, Altoona IA PD, Amberley Village OH PD, Andover KS PD, Anna TX PD, Arkansas City KS PD, Augusta KS DPS, Barber County KS SO, Barton County KS SO, Baxter Springs PD KS, Beaumont TX PD, Bel Aire KS PD, Belle Plaine KS PD, Bentley KS PD, Benton KS PD, Boone County AR SO, Bourbon County KS SO, Branson MO PD, Burrton KS PD, Butler County KS SO, Butler County OH SO, Butler Township OH PD, Calera OK PD, Caney KS PD, Cape Girardeau MO PD, Chanute KS PD, Chase County KS SO, Chautauqua County KS SO, Cheney KS PD, Cherokee County KS SO, Cherryvale KS PD, Chesterfield County VA PD, Chesterton IN PD , Clayton County GA PD, Clearwater KS PD, Cleveland County OK SO, Cloud County KS SO, Coffeyville KS PD, Colwich KS PD, Conway Springs KS PD, Cowley County KS SO, Crawford County KS SO, De Pere WI PD, Derby KS PD, Douglas County NE SO, Eastborough KS PD, Edmond OK PD, El Dorado KS PD, Elk County KS SO, Ellinwood KS PD, Emporia KS PD, Enid OK PD, FBI, Firestone CO PD, Frontenac KS PD, Garden Plain KS PD, Gardner KS PD, Goddard KS PD, Grand Island NE PD, Grant County KS SO, Great Bend KS PD, Halstead KS PD, Hamilton County KS SO, Harvey County KS SO, Haven KS PD, Haysville KS PD, Hazel Park MI PD, Henderson KY PD, Hesston KS PD, Hillsboro KS PD, Hoisington KS PD, Houston TX PD, Huntsville AL PD, Hutchinson KS PD, Jefferson County MO SO, Jonesboro AR PD, Junction City KS PD, Kansas Department of Labor KS, Kansas Highway Patrol, Kansas KBI, Kansas Wildlife and Parks, Kearney NE PD, Kearny County KS SO, Kechi KS PD, Kingman County KS SO, Kingman KS PD, Leavenworth County KS SO, Leavenworth KS PD, Lee County GA SO, Lyon County KS SO , Maize KS PD, Marion County KS SO, Marshalltown IA PD, Marysville KS PD, Medicine Lodge KS PD, Minneapolis KS PD, Missouri State Highway Patrol, MOCIC , Montgomery County KS SO, Moore OK PD, Mount Vernon IN PD, Mulvane KS PD, Neodesha KS PD, Neosho County KS SO, Ness County KS SO, Newton KS PD, North Newton KS PD, O'Fallon MO PD, Oklahoma City OK PD, Oklahoma State Bureau of Investigations, Olathe KS PD, Ottawa IL PD, Ottawa KS PD, Overland Park KS PD, Oxford KS PD, Park City KS PD, Parsons KS PD, Pawnee County KS SO, Perry County MO SO, Pittsburg KS PD, Pottawatomie County KS SO, Pratt County KS SO, Reno County KS SO, Richmond VA PD, Riley County KS PD, Rochester IL PD, Rock County WI SO, Rock Hill SC PD, Rose Hill KS PD, Saint Croix Falls WI PD, Salina KS PD, Saline County KS SO, Sarasota FL PD, Sarpy County NE SO, Sauk Village IL PD, Sedgwick County KS SO, Sedgwick KS PD, South Hutchinson KS PD, South Sioux City NE PD , Springfield MO PD, St. Francois County MO SO, Sterling Heights MI PD, Stevens Point WI PD, Sumner County KS SO, Texas Financial Crimes Intelligence Center, Thomas County KS SO, Thornton CO PD, Tooele City PD UT, Topeka KS PD, Ulysses KS PD, US Postal Inspection Service, Vacaville CA PD, Valley Center KS DPS, Wallace County KS SO, Wamego KS PD, Waukee IA PD, Wellington KS PD, West Chester OH PD, West Des Moines IA PD, West Terre Haute IN PD, Wichita County KS SO, Wichita Falls TX PD , Wichita KS PD, Wichita State University KS PD, Winfield KS PD, Woodson Terrace MO PD, Wyoming OH PD","NCIC, NCMEC Amber Alert",181884,324,107,1
1328,Junction City KS PD,2024-04-26T11:53:03Z,2024-04-26T17:31:51Z,https://transparency.flocksafety.com/junction-city-ks-pd,30 days,19,"Abilene KS PD, Algonquin IL PD, Allen County KS Communications Center, Allen County KS SO, Altoona IA PD, Amberley Village OH PD, Andover KS PD, Anna TX PD, Anoka MN PD, Argyle TX PD, Arkansas City KS PD, Arnolds Park IA PD, Athens IL PD, Attorney General of Illinois - Medicare Fraud Division, Auburn IL PD, Augusta KS DPS, Aurora MO PD, Avon CO PD, Balch Springs TX PD , Barber County KS SO, Bartlett IL PD, Barton County KS SO, Batesville AR PD, Baxter Springs PD KS, Bel Aire KS PD, Belle Plaine KS PD, Bentley KS PD, Benton KS PD, Blue Springs MO PD, Boone County AR SO, Boone County IL SO, Bourbon County KS SO, Bourbonnais IL PD, Bowling Green MO PD, Bradley IL PD, Branson MO PD, Bridgeport TX PD , Brighton CO PD, Brooklyn Center MN PD, Brush CO PD, Burleson TX PD, Burrton KS PD, Butler County KS SO, Byhalia MS PD, Caldwell KS PD, Camden Co MO SO, Camden County MO SO, Caney KS PD, Cape Girardeau MO PD, Carpentersville IL PD, Carter Lake IA PD, Castle Rock CO PD, Chaffee County CO SO, Champlin MN PD, Chanute KS PD, Chase County KS SO, Chautauqua County KS SO, Cheney KS PD, Cherokee County KS SO, Cherryvale KS PD, Chesterfield County VA PD, Chippewa Falls WI PD, Choctaw OK PD, Chrisman IL PD , Christian County MO SO, City of Jennings MO PD, City of Jetmore KS , City of Wellston MO, City of West PD TX , Claremore OK PD, Clark Co. IL Sheriff's Dept., Clarksville VA PD, Clearwater KS PD, Clinton Co IA Communications Center, Clive IA PD, CO - Colorado Bureau of Investigation, CO - Keenesburg PD , Coffey County KS SO, Coffeyville KS PD, Coles County IL SO , Colleyville PD TX, Collinsville IL PD, Columbine Valley CO PD, Colwich KS PD, Conway Springs KS PD, Coralville IA PD, Covington TN PD, Coweta OK PD, Cowley County KS SO, Crawford County IL SO , Crawford County KS SO, Crest Hill IL PD, Creve Coeur IL PD, Crystal City MO PD, Dacono CO PD, De Pere WI PD, Decatur IL PD, Decatur Park District IL PD, Denton County TX SO, Derby KS PD, Des Peres MO DPS, DFW Airport PD TX, Dixon IL PD , Douglas County NE SO, DuPage Co IL Prosecutor Office, DuPage County IL SO, East Peoria IL PD, Eastborough KS PD, Eau Claire County WI SO, Edmond OK PD, Edwardsville IL PD, El Dorado KS PD, El Paso CO SO, Elk County KS SO, Ellinwood KS PD, ElRoy WI PD, Elwood IL PD, Emporia KS PD, Enid OK PD, Ennis TX PD, Excelsior Springs MO PD, Farina IL PD , Farmington MO PD, Fayette County IL SO , FedEx Air Carrier PD , Firestone CO PD, Forest Hill TX PD, Franklin County KS Communications Center, Frederecktown MO PD, Frontenac KS PD, Frontenac MO PD, Fulton County GA SO, Gadsden TN PD, Garden Plain KS PD, Gardner KS PD, Geneseo IL PD , Glasford IL PD, Goddard KS PD, Goodland KS PD, Granby CO PD, Grand Island NE PD, Grant County AR SO , Grant County KS SO, Grapevine TX PD, Great Bend KS PD, Greeley County KS SO, Greenfield IL PD , Greenville IL PD , Guthrie OK PD, Halstead KS PD, Haltom City TX PD, Hamilton County KS SO, Harper County KS SO, Harvey County KS SO, Haven KS PD, Haysville KS PD, Heath TX DPS, Henderson KY PD, Hennepin County MN SO, Hesston KS PD, Hillsboro KS PD, Hoisington KS PD, Hood Co. TX SO, Houston TX PD, Humboldt County IA SO, Hurst TX PD, Hutchins TX PD  , Hutchinson KS PD, Illinois Attorney General, Illinois Statewide Auto Theft Taskforce, Indianola IA PD, Iroquois IL SO , Irving TX PD, Jack County TX SO, Jackson County SO AR, Jacksonville AR PD, Janesville WI PD, Jasper County IN SO, Jefferson County MO SO, Johnson County KS SO, Johnson County NE SO, Johnstown CO PD, Junction City KS PD, Justice IL PD, Kane County Forest Preserve IL PD , Kankakee County IL SO, Kansas Department of Labor KS, Kansas Highway Patrol, Kansas KBI, Kansas Wildlife and Parks, Kaufman County TX SO, Kearny County KS SO, Kechi KS PD, Kewanee IL PD , Kimberling City MO PD, Kingman County KS SO, Kingman KS PD, Kiowa County CO Sheriff , Knox County SO NE, La Vista NE PD, Ladd IL PD, Lafayette County WI SO, Lakewood CO PD, Lakewood IL PD , LaSalle Co. IL SO, Lavon TX PD , Leadington MO PD, Leavenworth County KS SO, Leavenworth KS PD, Leawood KS PD, Lexington IL PD, Lexington NE PD, Liberty MO PD, Lincoln NE PD, Lisle IL PD, Lockney TX PD, Lockport IL PD , Lodi WI PD, Logan County OK SO, Lone Tree CO PD, Longmont CO PD, Lubbock TX PD, Lyon County KS SO , Madison County IL PD, Maize KS PD, Manchester MO PD, Marion AR PD, Marion County KS SO, Marshall TX PD, Marysville KS PD, Maryville IL PD, McCurtain County OK SO, Medicine Lodge KS PD, Menard County IL SO, Metamora IL PD, Metcom Disptach Center IL, Methodist Health System PD (TX), Methodist Midlothian Medical Center PD TX, Miami County KS SO, Mid Missouri Drug Task Force MO, Midlothian IL PD, Mineral Area Drug Task Force MO, Minneapolis KS PD, Missouri Information Analysis Center, Missouri State Highway Patrol, Mitchell SD PD, MOCIC , Montgomery County KS SO, Monticello IL PD , Mora County NM SO (Wagon Mound), Morrison IL PD, Mount Vernon IN PD, Mount Vernon TX PD, Mountain View CO PD, Mt. Zion IL PD, Mulvane KS PD, Muscoda WI PD, Mustang OK PD, Neodesha KS PD, Neosho County KS SO, Ness County KS SO, New Lenox IL PD, New York State Police NY, Newcastle OK PD, Newton KS PD, Nichols Hills OK PD, Norman OK PD, North Aurora IL PD, North Hudson WI PD, North Little Rock AR PD, North Newton KS PD, North Pekin IL PD, Northlake TX PD, Norwood OH PD, O'Fallon MO PD, Odessa MO PD, Oklahoma Bureau of Narcotics , Oklahoma City Community College PD , Olathe KS PD, Onalaska WI PD, Ontario CA PD, Orono MN PD, Oswego IL PD, Ottawa IL PD, Ottawa KS PD, Ottumwa IA PD, Overland MO PD, Overland Park KS PD, Oxford KS PD, Ozarks Drug Enforcement Team MO, Paducah KY PD, Paola KS PD, Park City KS PD, Parsons KS PD, Pawnee County KS SO, Paxton IL PD , Peoria County IL SO, Pepin County WI SO, Perry County MO SO, Peru IL PD, Phelps County NE SO, Pike County IL SO , Pittsboro IN PD, Pittsburg KS PD, Posey County IN SO, Pottawatomie County KS SO, Prairie Du Chien WI PD, Pratt County KS SO, Pueblo CO PD, Putnam County IL SO, Radcliff KY PD, Randolph County AR SO , Rantoul IL PD, Reading IL PD , Redfield AR PD , Reeds Springs MO PD, Reedsburg WI PD, Reno County KS SO, Reno TX PD, Richland Community College Campus IL PD, Richland Hills TX PD, Richmond VA PD, Riley County KS PD, Riverton IL PD , Riverview MO PD, Roanoke TX PD, Rochester IL PD, Rochester MN PD, Rock County WI SO, Rock Hill SC PD, Rock Island County IL SO , Rogers AR PD, Romeoville IL PD, Rose Hill KS PD, Roseville MN PD, Rossville IL PD, Round Rock TX PD, Rowlett PD TX, Sachse TX PD, Saginaw TX PD , Saint Croix Falls WI PD, Salem MO PD, Salina KS PD, Salina OK PD, Saline County KS SO, Sarasota FL PD, Sarpy County NE SO, Sauk County WI SO, Sauk Prairie WI PD, Savanna IL PD, Scarborough ME PD, Scottsbluff NE PD, Sedgwick County KS SO, Sedgwick KS PD, SEECOM Dispatch Center IL, Seligman MO PD, Sequoyah County SO OK , Sheridan AR PD, Sheridan County KS SO, Shorewood IL PD, Shreveport LA PD, Sioux City IA PD, Sioux Falls SD PD, Somerset WI PD, South Hutchinson KS PD, South Lake Minnetonka MN PD, Southern Illinois University IL PD , Southern Methodist University TX PD , Sparta WI PD, Spring Valley IL PD, Springfield MO PD, Springfield MO PD (Raven) , Springfield Park District IL PD, Sringfield IL (PD) , St Elmo IL PD , St. Charles County MO PD, St. Cloud MN PD, St. Louis Fusion Center MO, Stephenville TX PD, Sterling Heights MI PD, Stevens Point WI PD, Streamwood IL PD, Sumner County KS SO, Taney County MO SO, Tarleton State University TX PD , Tarpon Springs FL PD, Tarrant Regional Water District TX PD, Texas Financial Crimes Intelligence Center, The Colony TX PD, The Village OK PD, Thomas County KS SO, Thornton CO PD, Tilton IL PD, TN - Loeb Properties Inc - Security, Tonkawa OK PD, Topeka KS PD, Town & Country MO PD, Trophy Club TX PD, Tulia TX PD, Tye TX PD, Tyler TX PD, Ulysses KS PD, Union County KY SO, Univ. of Texas - Tyler PD, University City MO PD, University of Illinois at Urbana-Champaign IL PD, University of Wisconsin - Madison WI PD, Urbandale IA PD, Vacaville CA PD, Valley Center KS DPS, Village of Pingree Grove IL PD, Wagoner CO OK SO (Trailer) , Wallace County KS SO, Walls MS PD, Wamego KS PD, Warson Woods MO PD , Washington County MO SO, Waterman IL PD, Waukee IA PD, Waukesha WI PD, Wayne IL PD, Wayzata MN PD, Webster Parish LA SO, Weld County CO SO, Wellington KS PD, Wellsville PD KS , Wescom IL Dispatch Center, West Chicago IL PD, West Des Moines IA PD, West Dundee IL PD, West Tawakoni TX PD , West Terre Haute IN PD, Westlake TX PD , Wheeler County NE SO , WI Department of Justice, Wichita County KS SO, Wichita Falls TX PD , Wichita KS PD, Wichita State University KS PD, Williamsville IL PD, Windsor CO PD, Winfield IL PD, Winfield KS PD, Winfield MO PD, Winnebago County IL SO, Woodbury County IA SO, Woodson Terrace MO PD, Wyoming OH PD","NCIC, NCMEC Amber Alert",119782,1386,238,1
2688,Wellington KS PD,2024-04-26T09:10:11Z,2024-04-26T17:31:52Z,https://transparency.flocksafety.com/wellington-ks-pd,30 days,4,"18th Judicial District DA's Office- LA PD, 18th Judicial District Drug Task Force - TN PD, Abilene KS PD, Accomack County VA SO, ACRATT -CA, Acushnet MA PD, Acworth GA PD, Adairsville GA PD, Adams County CO SO, Adams County MS SO, Adamsville AL PD, Addis LA PD, Addison IL PD, Adrian MI PD, Airway Heights WA PD, Akron OH PD, AL - Troy University - Insight , Alabama Drug Enforcement Task Force Region G, Alabama Law Enforcement Agency (ALEA), Alabaster AL PD, Alachua County FL SO, Alachua FL PD, Alameda CA PD, Alameda County CA SO, Albany CA PD, Albany County NY SO, Albany GA PD, Albany NY PD , Albertville AL PD, Alcoa TN PD, Alcorn County MS SO, ALDOI/ AL State Fire Marshal's Office, Alexander City AL PD, Alexander County NC SO, Alexandria IN PD, Alexandria VA PD, Algonquin IL PD, Algood TN PD, Alhambra CA PD, Allegan County SO MI, Allen County KS Communications Center, Allen County KS SO, Allen Park PD MI, Alpharetta GA PD, Alsip IL PD, Altamonte Springs FL PD, Altoona IA PD, Altoona WI PD, Alvin ISD TX PD, Alvin TX PD, Amarillo TX PD, Americus GA PD, Amherst OH PD, Anaheim CA PD, Anchorage KY PD, Anderson CA PD, Anderson County SC SO, Anderson County TN SO, Anderson PD IN, Anderson SC PD, Andover KS PD, Ankeny IA PD, Anna TX PD, Antigo WI PD, Antioch CA PD, Antioch IL PD, Apache Junction AZ PD, Apopka FL PD, App State University NC PD, Appalachian Regional Healthcare System NC PD, Appleton WI PD, Aransas Pass TX PD, Arapahoe County CO SO, Arcadia CA PD, Arcanum OH PD, Arcola MS PD, Argo AL PD, Argyle TX PD, Arkansas City KS PD, Arlington Heights IL PD , Arlington TX PD, Arnold MO PD, Arvin CA PD, Ascension Parish LA SO, Asheboro NC PD, Ashwaubenon WI PD, ASU AZ PD, ATF Louisville KY, ATF Nashville TN, Athens-Clarke County GA PD, Atherton CA PD, Atlanta GA PD, Atlantis FL PD, Atoka TN PD, Attalla AL PD, Attleboro MA PD, Aubrey TX PD, Auburn AL PD, Augusta KS DPS, Aurora CO PD, Austin County TX SO, Azle TX PD, Barber County KS SO, Barton County KS SO, Baxter Springs PD KS, Bel Aire KS PD, Bellaire TX PD, Belle Plaine KS PD, Bentley KS PD, Benton KS PD, Bourbon County KS SO, Brigham City UT PD, Butler County KS SO, Caldwell KS PD, Caney KS PD, Catoosa OK PD, Chanute KS PD, Chase County KS SO, Chautauqua County KS SO, Cheney KS PD, Cherokee County KS SO, Cherryvale KS PD, Clearwater KS PD, Cleveland County OK SO, Cloud County KS SO, Coffeyville KS PD, Colwich KS PD, Conway Springs KS PD, Coweta OK PD, Cowley County KS SO, Crawford County KS SO, Derby KS PD, DFW Airport PD TX, Dougherty County GA PD , Eastborough KS PD, Edmond OK PD, El Dorado KS PD, Elk County KS SO, Ellinwood KS PD, Emporia KS PD, Enid OK PD, Frontenac KS PD, Goddard KS PD, Grant County KS SO, Grant County OK SO, Great Bend KS PD, Halstead KS PD, Hamilton County KS SO, Haysville KS PD, Hillsboro KS PD, Hoisington KS PD, Houston TX PD, Hugo OK PD, Hutchinson KS PD, Jenks OK PD, Junction City KS PD, Kansas Department of Labor KS, Kansas Highway Patrol, Kansas KBI, Kansas Wildlife and Parks, Kearney NE PD, Kechi KS PD, Kingman County KS SO, Kingman KS PD, Leavenworth County KS SO, Leavenworth KS PD, Locust Grove OK PD, Logan County OK SO, Lyon County KS SO , Maize KS PD, Marion County KS SO, Marysville KS PD, Medicine Lodge KS PD, Mesquite TX PD, Minneapolis KS PD, MOCIC , Montgomery County KS SO, Moore OK PD, Mulvane KS PD, Muskogee OK PD, Mustang OK PD, Neodesha KS PD, Neosho County KS SO, Ness County KS SO, Newton KS PD, North Richland Hills TX PD, Oklahoma City OK PD, Oklahoma County OK SO, Oklahoma State Bureau of Investigations, Olathe KS PD, Ottawa KS PD, Overland Park KS PD, Oxford KS PD, Park City KS PD, Parsons KS PD, Pittsburg KS PD, Pratt County KS SO, Queen Creek AZ PD, Reno County KS SO, Riley County KS PD, Robeson County NC SO, Rochester IL PD, Rose Hill KS PD, Salina KS PD, Salina OK PD, Saline County KS SO, Sauk Village IL PD, Sedgwick KS PD, South Hutchinson KS PD, Spokane County WA SO, Sumner County KS SO, Texas City TX PD, Texas Financial Crimes Intelligence Center, Thomas County KS SO, Topeka KS PD, Tulsa OK PD, Ulysses KS PD, Univ. of TX - Arlington PD, US Postal Inspection Service, Valley Center KS DPS, Wagoner CO SO OK, Wamego KS PD, Waukee IA PD, Wellington KS PD, Westhampton Beach Village NY PD, Wichita County KS SO, Wichita Falls TX PD , Wichita KS PD, Winfield KS PD, Yukon OK PD","NCIC, NCMEC Amber Alert",40608,112,39,0
423,Castle Rock CO PD,2024-04-26T10:58:05Z,2024-04-26T17:31:54Z,https://transparency.flocksafety.com/castle-rock-co-pd,30 days,32,NA,"NCIC, NCMEC Amber Alert, Colorado Crime Information Center (CCIC)",535930,Data Unavailable,NA,0
614,Council Bluffs IA PD,2024-04-26T11:40:45Z,2024-04-26T17:31:56Z,https://transparency.flocksafety.com/council-bluffs-ia-pd,30 days,25,"Altoona IA PD, Ankeny IA PD, Burlington IA PD, Camanche IA PD, Cape Girardeau MO PD, Carter Lake IA PD, Clinton IA PD, Clive IA PD, Coralville IA PD, Davenport IA PD, Douglas County NE SO, Dubuque IA PD, El Dorado KS PD, Excelsior Springs MO PD, Glenwood IA PD, Grand Island NE PD, Grandview MO PD, Houston TX PD, Johnston IA PD, Justice IL PD, Kansas KBI, Kansas Wildlife and Parks, Kearney NE PD, Lee County IA SO, Linn County IA SO, Madison SD PD , Marion County KS SO, Marshalltown IA PD, MOCIC , New York State Police NY, North Liberty IA PD, North Platte NE PD, Oklahoma City OK PD, Ottawa KS PD, Ottumwa IA PD, Overland Park KS PD, Pleasant Hill IA PD, Polk City IA PD, Polk County Conservation IA, Sarpy County NE SO, Sauk Village IL PD, Scott County IA SO, Sioux City IA PD, South Sioux City NE PD , Texas Financial Crimes Intelligence Center, University of Iowa PD (IA), Urbandale IA PD, US Postal Inspection Service, Waterloo IA PD, Waukee IA PD, West Des Moines IA PD, WI Department of Justice","NCIC, NCMEC Amber Alert",346082,3464,815,1
2017,Pawtucket RI PD,2024-04-26T13:10:45Z,2024-04-26T17:31:57Z,https://transparency.flocksafety.com/pawtucket-ri-pd,30 days,20,NA,"NCIC, NCMEC Amber Alert",434400,1396,678,0
2142,Rantoul IL PD,2024-04-26T08:26:40Z,2024-04-26T17:31:59Z,https://transparency.flocksafety.com/rantoul-il-pd,30 days,34,NA,"NCIC, Illinois Leads, NCMEC Amber Alert",101251,386,145,0
84,Arlington PD (WA),2024-04-26T11:55:46Z,2024-04-26T17:32:01Z,https://transparency.flocksafety.com/arlington-pd-wa,30 days,14,NA,"NCIC, NCMEC Amber Alert",262187,221,155,0
1629,Medina WA PD,2024-04-26T12:06:27Z,2024-04-26T17:32:02Z,https://transparency.flocksafety.com/medina-wa-pd,30 days,15,Clyde Hill WA PD,"NCIC, NCMEC Amber Alert",73651,23,4,0
